	ref	Start position	End position	label	Region Length
0	2636416065	173210	196558	072115_103|160,072115_113|109,072115_129|133	23348
1	2636416065	281762	303264	072115_103|249,072115_113|144,072115_129|187	21502
2	2636416065	742005	749972	072115_103|610,072115_113|420,072115_129|530	7967
3	2636416065	1772191	1779124	072115_103|1635,072115_113|1075,072115_129|1305	6933
4	2636416065	1863987	1871564	072115_103|1715	7577
5	2636416065	2091998	2097578	072115_103|1904,072115_113|1250,072115_129|1553	5580
6	2636416065	2129633	2149518	072115_103|1933,072115_113|1262,072115_129|1578	19885
7	2636416065	2302755	2310646	072115_103|2064,072115_113|1428,072115_129|1689	7891
8	2636416065	2374903	2380364	072115_103|2131	5461
9	2636416065	2447022	2458465	072115_103|2203,072115_113|1566,072115_129|1859	11443
10	2636416065	2637641	2644163	072115_103|2377,072115_113|1668,072115_129|1992	6522
11	2636416065	2658032	2670940	072115_103|2391,072115_113|1672,072115_129|1997	12908
12	2636416065	3140915	3152103	072115_113|2028,072115_129|2373	11188
13	2636416065	3156707	3172052	072115_129|2379	15345
14	2636416065	3172203	3179684	072115_129|2380	7481
15	2636416065	3197234	3203520	072115_103|2830	6286
16	2636416065	3475191	3488093	072115_103|3151	12902
17	2636416065	3488126	3530367	072115_103|3152,072115_113|2309,072115_113|2310,072115_129|2703,072115_129|2704	42241
18	2636416065	3532450	3540590	072115_103|3159,072115_113|2316,072115_129|2709	8140
19	2636416065	3554845	3563025	072115_103|3266,072115_113|2355,072115_129|2735	8180
20	2636416065	3573879	3583108	072115_103|3306	9229
21	2636416065	3583154	3610172	072115_103|3309,072115_103|3378,072115_113|2415	27018
22	2636416065	3730877	3737663	072115_103|3546	6786
23	2636416065	3831689	3846034	072115_103|3681,072115_113|3012,072115_129|3319	14345
24	2636416065	3863861	3868940	072115_103|3709	5079
25	2636416065	3907406	3920781	072115_113|3107,072115_129|3432	13375
26	2636416065	4012614	4020613	072115_103|4033	7999
27	2636416065	4173885	4182762	072115_103|4224,072115_113|3537,072115_129|3686	8877
28	2636416065	4242966	4260667	072115_103|4284,072115_113|3617,072115_113|3619,072115_129|3756	17701
29	2636416065	4303723	4310968	072115_103|4349,072115_113|3643,072115_129|3785	7245
30	2636416065	4400195	4405707	072115_129|3886	5512
31	2636416065	4480237	4489299	072115_103|4624,072115_113|3968	9062
32	2636416065	4512621	4518828	072115_129|4027	6207
33	2636416065	4549520	4559127	072115_103|4674	9607
34	2636416065	4579933	4585260	072115_103|4682	5327
35	2636416065	4586827	4602704	072115_103|4686,072115_113|4085,072115_129|4078	15877
36	2636416065	4624804	4631032	072115_129|4140	6228
37	2636416065	4634909	4640074	072115_103|4783	5165
38	2636416065	4696954	4708337	072115_103|4854,072115_129|4199	11383
39	2636416065	4752148	4765259	072115_103|4900,072115_103|4901,072115_113|4314,072115_129|4259	13111
40	2636416065	5061245	5069911	072115_113|4662,072115_129|4598	8666
41	2636416065	5141499	5155565	072115_103|5408,072115_113|4749,072115_129|4723	14066
42	2636416065	5156137	5175686	072115_103|5411,072115_129|4725,072115_129|4729	19549
43	2636416065	5181991	5196075	072115_103|5429	14084
44	2636416065	5224657	5231012	072115_103|5443	6355
45	2636416065	5233688	5243380	072115_103|5449	9692
46	2636416065	5342828	5352075	072115_103|5656,072115_113|5075,072115_129|4966	9247
47	2636416065	5683912	5702513	072115_103|6004,072115_113|5338,072115_129|5337	18601
48	2636416065	5909774	5918521	072115_103|6198,072115_113|5455,072115_129|5480	8747
49	2636416065	5954037	5965776	072115_113|5482,072115_129|5501	11739
50	2636416065	6116735	6134327	072115_103|6383,072115_113|5580,072115_129|5622	17592
51	2636416065	6223332	6235688	072115_103|6465,072115_103|6466,072115_113|5627,072115_129|5688	12356
